Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,Goal_Diff,Wins,Draws,Losses,Goals_For,Goals_Against,Season,Winner
Manchester City,53,34,21.6,"10,23M","76,30M",6.8,1,98,72,32,2,4,95,23,2018-2019,1
Liverpool,57,33,22.8,"9,01M","187,43M",6.4,2,97,67,30,7,1,89,22,2018-2019,0
Chelsea,48,30,24.1,"8,65M","252,45M",6.4,3,72,24,21,9,8,63,39,2018-2019,0
Tottenham,45,20,22.5,"4,55M",-,6.2,4,71,28,23,2,13,67,39,2018-2019,0
Arsenal,57,36,23.9,"7,71M","39,00M",6.0,5,70,22,21,7,10,73,51,2018-2019,0
Manchester United,39,24,23.8,"8,38M","59,40M",6.0,6,66,11,19,9,10,65,54,2018-2019,0
Wolverhampton,54,32,22.7,"1,72M","82,60M",5.8,7,57,1,16,9,13,47,46,2018-2019,0
Everton,32,18,24.5,"2,63M","116,75M",5.9,8,54,8,15,9,14,54,46,2018-2019,0
Leicester,36,23,25.0,"3,25M","28,00M",5.8,9,52,3,15,7,16,51,48,2018-2019,0
West Ham,34,20,25.1,"2,54M","106,85M",5.7,10,52,-3,15,7,16,52,55,2018-2019,0
Watford,31,24,25.9,-,"14,75M",5.7,11,50,-7,14,8,16,52,59,2018-2019,0
Crystal Palace,38,19,24.6,"2,94M","7,50M",5.9,12,49,-2,14,7,17,51,53,2018-2019,0
Newcastle,34,18,24.2,"1,25M","37,96M",5.7,13,45,-6,12,9,17,42,48,2018-2019,0
Bournemouth,35,11,24.0,"1,59M","74,60M",5.8,14,45,-14,13,6,19,56,70,2018-2019,0
Burnley,32,13,26.8,"1,18M","35,80M",5.6,15,40,-23,11,7,20,45,68,2018-2019,0
Southampton,37,15,23.3,"1,67M",-,5.7,16,39,-20,9,12,17,45,65,2018-2019,0
Brighton,37,24,24.2,903K,"63,74M",5.5,17,36,-25,9,9,20,35,60,2018-2019,0
Cardiff,32,29,25.8,398K,"22,50M",5.4,18,34,-35,10,4,24,34,69,2018-2019,0
Fulham,41,28,23.1,142K,"34,50M",5.5,19,26,-47,7,5,26,34,81,2018-2019,0
Huddersfield Town,32,21,23.8,220K,"42,29M",5.1,20,16,-54,3,7,28,22,76,2018-2019,0
Liverpool,70,32,21.5,"13,59M","10,40M",6.4,1,99,52,32,3,3,85,33,2019-2020,1
Manchester City,60,41,22.2,"11,28M","159,00M",6.6,2,81,67,26,3,9,102,35,2019-2020,0
Manchester United,53,29,23.2,"13,90M","212,73M",6.0,3,66,30,18,12,8,66,36,2019-2020,0
Chelsea,71,39,23.5,"13,64M","45,00M",6.1,4,66,15,20,6,12,69,54,2019-2020,0
Leicester,38,20,24.7,"5,55M","103,27M",5.9,5,62,26,18,8,12,67,41,2019-2020,0
Tottenham,47,25,22.5,"7,07M","162,00M",5.9,6,59,14,16,11,11,61,47,2019-2020,0
Wolverhampton,51,32,21.1,"2,92M","114,06M",5.9,7,59,11,15,14,9,51,40,2019-2020,0
Arsenal,53,33,23.3,"10,11M","145,00M",5.8,8,56,8,14,14,10,56,48,2019-2020,0
Sheffield United,46,16,24.4,"1,42M","65,90M",5.7,9,54,0,14,12,12,39,39,2019-2020,0
Burnley,39,14,24.8,"2,63M","26,50M",5.5,10,54,-7,15,9,14,43,50,2019-2020,0
Southampton,50,22,23.2,"3,74M","39,04M",5.7,11,52,-9,15,7,16,51,60,2019-2020,0
Everton,44,25,24.3,"6,05M","123,46M",5.7,12,49,-12,13,10,15,44,56,2019-2020,0
Newcastle,45,20,24.3,"3,66M","68,00M",5.5,13,44,-20,11,11,16,38,58,2019-2020,0
Crystal Palace,40,21,24.4,"5,21M","5,80M",5.6,14,43,-19,11,10,17,31,50,2019-2020,0
Brighton,53,30,23.3,"1,77M","60,00M",5.5,15,41,-15,9,14,15,39,54,2019-2020,0
West Ham,44,22,24.6,"4,52M","107,93M",5.8,16,39,-13,10,9,19,49,62,2019-2020,0
Aston Villa,44,22,24.0,"3,19M","147,78M",5.4,17,35,-26,9,8,21,41,67,2019-2020,0
Bournemouth,46,14,23.6,"1,73M","34,46M",5.4,18,34,-25,9,7,22,40,65,2019-2020,0
Watford,56,32,23.4,201K,"23,13M",5.5,19,34,-28,8,10,20,36,64,2019-2020,0
Norwich,43,26,23.8,121K,830K,5.3,20,21,-49,5,6,27,26,75,2019-2020,0
Manchester City,44,30,23.3,"12,01M","135,10M",6.5,1,86,51,27,5,6,83,32,2020-2021,1
Manchester United,44,25,23.7,"17,46M","88,89M",6.1,2,74,29,21,11,6,73,44,2020-2021,0
Liverpool,47,29,22.7,"14,86M","82,00M",6.0,3,69,26,20,9,9,68,42,2020-2021,0
Chelsea,56,29,23.1,"14,95M","220,00M",6.1,4,67,22,19,10,9,58,36,2020-2021,0
Leicester,44,29,24.2,"8,56M","25,50M",5.9,5,66,18,20,6,12,68,50,2020-2021,0
West Ham,43,21,25.0,"5,86M","48,60M",6.0,6,65,15,19,8,11,62,47,2020-2021,0
Tottenham,46,22,23.0,"8,08M","74,90M",6.0,7,62,23,18,8,12,68,45,2020-2021,0
Arsenal,52,29,22.5,"12,05M","26,30M",6.0,8,61,16,18,7,13,55,39,2020-2021,0
Leeds,40,19,22.8,"2,41M","92,00M",5.8,9,59,8,18,5,15,62,54,2020-2021,0
Everton,47,26,23.2,"11,06M","70,37M",5.9,10,59,-1,17,8,13,47,48,2020-2021,0
Aston Villa,56,23,21.7,"4,93M","95,90M",6.1,11,55,9,16,7,15,55,46,2020-2021,0
Newcastle,37,16,25.4,"5,42M","22,25M",5.6,12,45,-16,12,9,17,46,62,2020-2021,0
Wolverhampton,42,32,22.5,"4,56M","84,50M",5.7,13,45,-16,12,9,17,36,52,2020-2021,0
Crystal Palace,36,18,26.2,"6,70M","27,00M",5.6,14,44,-25,12,8,18,41,66,2020-2021,0
Southampton,38,17,23.1,"5,36M","40,30M",5.3,15,43,-21,12,7,19,47,68,2020-2021,0
Brighton,64,37,23.1,"3,34M","17,00M",5.7,16,41,-6,9,14,15,40,46,2020-2021,0
Burnley,32,11,25.0,"3,51M","1,00M",5.5,17,39,-22,10,9,19,33,55,2020-2021,0
Fulham,38,20,25.0,"5,07M","22,15M",5.5,18,28,-26,5,13,20,27,53,2020-2021,0
West Bromwich Albion,45,15,24.6,"2,52M","26,50M",5.4,19,26,-41,5,11,22,35,76,2020-2021,0
Sheffield United,39,9,23.2,"2,30M","46,50M",5.3,20,23,-43,7,2,29,20,63,2020-2021,0
Manchester City,57,31,21.9,"12,14M","136,00M",6.7,1,93,73,29,6,3,99,26,2021-2022,1
Liverpool,61,34,22.3,"13,38M","86,30M",6.6,2,92,68,28,8,2,94,26,2021-2022,0
Chelsea,60,30,23.6,"16,20M","115,00M",6.5,3,74,43,21,11,6,76,33,2021-2022,0
Tottenham,55,26,22.4,"8,46M","61,00M",6.1,4,71,29,22,5,11,69,40,2021-2022,0
Arsenal,67,37,22.4,"14,27M","147,10M",5.9,5,69,13,22,3,13,61,48,2021-2022,0
Manchester United,57,31,23.4,"18,68M","145,00M",5.9,6,58,0,16,10,12,57,57,2021-2022,0
West Ham,40,20,24.4,"4,54M","68,50M",5.9,7,56,9,16,8,14,60,51,2021-2022,0
