Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Liverpool,70,32,21.5,"13,59M","10,40M",6.4,1,99,52,32,3,3,85,33
Manchester City,60,41,22.2,"11,28M","159,00M",6.6,2,81,67,26,3,9,102,35
Manchester United,53,29,23.2,"13,90M","212,73M",6,3,66,30,18,12,8,66,36
Chelsea,71,39,23.5,"13,64M","45,00M",6.1,4,66,15,20,6,12,69,54
Leicester,38,20,24.7,"5,55M","103,27M",5.9,5,62,26,18,8,12,67,41
Tottenham,47,25,22.5,"7,07M","162,00M",5.9,6,59,14,16,11,11,61,47
Wolverhampton,51,32,21.1,"2,92M","114,06M",5.9,7,59,11,15,14,9,51,40
Arsenal,53,33,23.3,"10,11M","145,00M",5.8,8,56,8,14,14,10,56,48
Sheffield United,46,16,24.4,"1,42M","65,90M",5.7,9,54,0,14,12,12,39,39
Burnley,39,14,24.8,"2,63M","26,50M",5.5,10,54,-7,15,9,14,43,50
Southampton,50,22,23.2,"3,74M","39,04M",5.7,11,52,-9,15,7,16,51,60
Everton,44,25,24.3,"6,05M","123,46M",5.7,12,49,-12,13,10,15,44,56
Newcastle,45,20,24.3,"3,66M","68,00M",5.5,13,44,-20,11,11,16,38,58
Crystal Palace,40,21,24.4,"5,21M","5,80M",5.6,14,43,-19,11,10,17,31,50
Brighton,53,30,23.3,"1,77M","60,00M",5.5,15,41,-15,9,14,15,39,54
West Ham,44,22,24.6,"4,52M","107,93M",5.8,16,39,-13,10,9,19,49,62
Aston Villa,44,22,24,"3,19M","147,78M",5.4,17,35,-26,9,8,21,41,67
Bournemouth,46,14,23.6,"1,73M","34,46M",5.4,18,34,-25,9,7,22,40,65
Watford,56,32,23.4,201K,"23,13M",5.5,19,34,-28,8,10,20,36,64
Norwich,43,26,23.8,121K,830K,5.3,20,21,-49,5,6,27,26,75
