Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Manchester City,73,38,21.9,"14,06M","103,50M",6.6,1,89,61,28,5,5,94,33
Arsenal,76,39,21.8,"10,75M","224,56M",6.4,2,84,45,26,6,6,88,43
Manchester United,73,38,23.2,"20,14M","238,02M",6.1,3,75,15,23,6,9,58,43
Newcastle,40,17,25.5,"5,92M","136,85M",6,4,71,35,19,14,5,68,33
Liverpool,67,36,22.3,"12,57M","129,89M",6.1,5,67,28,19,10,9,75,47
Brighton,59,34,22,"2,13M","40,24M",6,6,62,19,18,8,12,72,53
Aston Villa,64,30,23,"6,37M","96,14M",5.8,7,61,5,18,7,13,51,46
Tottenham,64,30,22.3,"8,96M","169,90M",5.9,8,60,7,18,6,14,70,63
Brentford,45,27,22.8,"1,34M","56,00M",5.8,9,59,12,15,14,9,58,46
Fulham,54,28,24,"3,65M","71,30M",5.7,10,52,2,15,7,16,55,53
Crystal Palace,63,24,22.3,"4,26M","24,00M",5.7,11,45,-9,11,12,15,40,49
Chelsea,81,44,22.6,"19,69M","617,29M",5.8,12,44,-9,11,11,16,38,47
Wolverhampton,61,43,23.6,"4,90M","186,16M",5.6,13,41,-27,11,8,19,31,58
West Ham,52,24,23.2,"5,58M","170,90M",5.7,14,40,-13,11,7,20,42,55
Bournemouth,50,16,22.8,"2,33M","83,10M",5.4,15,39,-34,11,6,21,37,71
Nottingham Forest,55,31,24.8,"3,59M","174,10M",5.5,16,38,-30,9,11,18,38,68
Everton,59,28,24.1,"8,86M","45,00M",5.7,17,36,-23,8,12,18,34,57
Leicester,58,33,23.4,"6,77M","48,00M",5.7,18,34,-17,9,7,22,51,68
Leeds,52,31,22.4,"2,63M","143,04M",5.5,19,31,-30,7,10,21,48,78
Southampton,51,24,22.5,"4,94M","117,10M",5.4,20,25,-37,6,7,25,36,73
