Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Manchester City,72,50,22.9,"4,86M","316,30M",6.9,1,100,79,32,4,2,106,27
Manchester United,35,23,24.3,"4,13M","164,40M",6.5,2,81,40,25,6,7,68,28
Tottenham,50,25,22.3,"2,71M","115,20M",6.4,3,77,38,23,8,7,74,36
Liverpool,55,29,23.4,"4,62M","233,50M",6.4,4,75,46,21,12,5,84,38
Chelsea,46,36,23.4,"3,74M","263,10M",6.1,5,70,24,21,7,10,62,38
Arsenal,62,36,22.8,"5,88M","119,00M",6.2,6,63,23,19,6,13,74,51
Burnley,33,16,25.9,583K,"34,04M",5.7,7,54,-3,14,12,12,36,39
Everton,48,26,23.4,901K,"236,20M",5.5,8,49,-14,13,10,15,44,58
Leicester,42,23,24,593K,"80,90M",5.8,9,47,-4,12,11,15,56,60
Newcastle,39,23,23.8,264K,"66,80M",5.7,10,44,-8,12,8,18,39,47
Crystal Palace,43,22,24,783K,"96,90M",5.7,11,44,-10,11,11,16,45,55
Bournemouth,36,12,24.4,"1,15M","45,80M",5.5,12,44,-16,11,11,16,45,61
West Ham,57,33,23.7,"1,22M","43,10M",5.7,13,42,-20,10,12,16,48,68
Watford,46,32,24.4,-,"105,32M",5.7,14,41,-20,11,8,19,44,64
Brighton,58,33,24.6,547K,"51,90M",5.6,15,40,-20,9,13,16,34,54
Huddersfield Town,34,19,24.7,80K,"97,40M",5.5,16,37,-30,9,10,19,28,58
Southampton,33,19,24.3,"1,72M","122,37M",5.9,17,36,-19,7,15,16,37,56
Swansea,43,38,24.6,-,"79,27M",5.4,18,33,-28,8,9,21,28,56
Stoke City,34,26,24.9,196K,"76,10M",5.3,19,33,-33,7,12,19,35,68
West Bromwich Albion,35,16,24.7,142K,"50,80M",5.5,20,31,-25,6,13,19,31,56
