Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Manchester City,53,34,21.6,"10,23M","76,30M",6.8,1,98,72,32,2,4,95,23
Liverpool,57,33,22.8,"9,01M","187,43M",6.4,2,97,67,30,7,1,89,22
Chelsea,48,30,24.1,"8,65M","252,45M",6.4,3,72,24,21,9,8,63,39
Tottenham,45,20,22.5,"4,55M",-,6.2,4,71,28,23,2,13,67,39
Arsenal,57,36,23.9,"7,71M","39,00M",6,5,70,22,21,7,10,73,51
Manchester United,39,24,23.8,"8,38M","59,40M",6,6,66,11,19,9,10,65,54
Wolverhampton,54,32,22.7,"1,72M","82,60M",5.8,7,57,1,16,9,13,47,46
Everton,32,18,24.5,"2,63M","116,75M",5.9,8,54,8,15,9,14,54,46
Leicester,36,23,25,"3,25M","28,00M",5.8,9,52,3,15,7,16,51,48
West Ham,34,20,25.1,"2,54M","106,85M",5.7,10,52,-3,15,7,16,52,55
Watford,31,24,25.9,-,"14,75M",5.7,11,50,-7,14,8,16,52,59
Crystal Palace,38,19,24.6,"2,94M","7,50M",5.9,12,49,-2,14,7,17,51,53
Newcastle,34,18,24.2,"1,25M","37,96M",5.7,13,45,-6,12,9,17,42,48
Bournemouth,35,11,24,"1,59M","74,60M",5.8,14,45,-14,13,6,19,56,70
Burnley,32,13,26.8,"1,18M","35,80M",5.6,15,40,-23,11,7,20,45,68
Southampton,37,15,23.3,"1,67M",-,5.7,16,39,-20,9,12,17,45,65
Brighton,37,24,24.2,903K,"63,74M",5.5,17,36,-25,9,9,20,35,60
Cardiff,32,29,25.8,398K,"22,50M",5.4,18,34,-35,10,4,24,34,69
Fulham,41,28,23.1,142K,"34,50M",5.5,19,26,-47,7,5,26,34,81
Huddersfield Town,32,21,23.8,220K,"42,29M",5.1,20,16,-54,3,7,28,22,76
