Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Manchester City,44,30,23.3,"12,01M","135,10M",6.5,1,86,51,27,5,6,83,32
Manchester United,44,25,23.7,"17,46M","88,89M",6.1,2,74,29,21,11,6,73,44
Liverpool,47,29,22.7,"14,86M","82,00M",6,3,69,26,20,9,9,68,42
Chelsea,56,29,23.1,"14,95M","220,00M",6.1,4,67,22,19,10,9,58,36
Leicester,44,29,24.2,"8,56M","25,50M",5.9,5,66,18,20,6,12,68,50
West Ham,43,21,25,"5,86M","48,60M",6,6,65,15,19,8,11,62,47
Tottenham,46,22,23,"8,08M","74,90M",6,7,62,23,18,8,12,68,45
Arsenal,52,29,22.5,"12,05M","26,30M",6,8,61,16,18,7,13,55,39
Leeds,40,19,22.8,"2,41M","92,00M",5.8,9,59,8,18,5,15,62,54
Everton,47,26,23.2,"11,06M","70,37M",5.9,10,59,-1,17,8,13,47,48
Aston Villa,56,23,21.7,"4,93M","95,90M",6.1,11,55,9,16,7,15,55,46
Newcastle,37,16,25.4,"5,42M","22,25M",5.6,12,45,-16,12,9,17,46,62
Wolverhampton,42,32,22.5,"4,56M","84,50M",5.7,13,45,-16,12,9,17,36,52
Crystal Palace,36,18,26.2,"6,70M","27,00M",5.6,14,44,-25,12,8,18,41,66
Southampton,38,17,23.1,"5,36M","40,30M",5.3,15,43,-21,12,7,19,47,68
Brighton,64,37,23.1,"3,34M","17,00M",5.7,16,41,-6,9,14,15,40,46
Burnley,32,11,25,"3,51M","1,00M",5.5,17,39,-22,10,9,19,33,55
Fulham,38,20,25,"5,07M","22,15M",5.5,18,28,-26,5,13,20,27,53
West Bromwich Albion,45,15,24.6,"2,52M","26,50M",5.4,19,26,-41,5,11,22,35,76
Sheffield United,39,9,23.2,"2,30M","46,50M",5.3,20,23,-43,7,2,29,20,63
