Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,DIF,Gain,Null,defeat,BP,BC
Leicester,36,18,24.7,-,"36,80M",6.1,1,81,32,23,12,3,68,36
Arsenal,44,30,22.9,-,"24,10M",6.5,2,71,29,20,11,7,65,36
Tottenham,34,16,22.6,-,"67,00M",6.1,3,70,34,19,13,6,69,35
Manchester City,56,41,23.2,582K,"196,32M",6.3,4,66,30,19,9,10,71,41
Manchester United,50,27,22.3,"1,84M","146,00M",6,5,66,14,19,9,10,49,35
Southampton,34,19,23.8,725K,"53,20M",6.1,6,63,18,18,9,11,59,41
West Ham,57,25,22.1,608K,"55,80M",6,7,62,14,16,14,8,65,51
Liverpool,52,29,21.6,377K,"112,00M",5.9,8,60,13,16,12,10,63,50
Stoke City,31,25,25.9,-,"11,80M",5.7,9,51,-14,14,9,15,41,55
Chelsea,51,34,22.6,"1,39M","72,90M",5.8,10,50,6,12,14,12,59,53
Everton,47,21,23.1,-,"30,50M",5.9,11,47,4,11,14,13,59,55
Swansea,38,32,24.2,-,"19,80M",5.7,12,47,-10,12,11,15,42,52
Watford,45,37,24.7,-,"34,55M",5.7,13,45,-10,12,9,17,40,50
West Bromwich Albion,39,20,24.2,-,"38,70M",5.7,14,43,-14,10,13,15,34,48
Crystal Palace,42,19,24.8,-,"25,00M",5.5,15,42,-12,11,9,18,39,51
Bournemouth,45,17,24.1,225K,"63,95M",5.5,16,42,-22,11,9,18,45,67
Sunderland,45,27,24.7,-,"52,80M",5.6,17,39,-14,9,12,17,48,62
Newcastle,41,25,23.2,-,"133,80M",5.6,18,37,-21,9,10,19,44,65
Norwich,40,16,24.9,-,"31,90M",5.4,19,34,-28,9,7,22,39,67
Aston Villa,41,20,23.2,-,"66,50M",5.5,20,17,-49,3,8,27,27,76
